ID,Weight,Length,Width,Height,UOM Code,Fit ratio
4114,115,400,320,10,EA,100
4115,149,400,320,10,EA,100
4116,131,400,320,10,EA,100
4117,124,400,320,10,EA,100
4118,111,400,320,10,EA,100
4119,143,400,320,10,EA,100
4120,137,400,320,10,EA,100
4121,121,400,320,10,EA,100
4122,113,400,320,10,EA,100
4123,146,400,320,10,EA,100
4124,364,400,320,30,EA,100
4125,367,400,320,30,EA,100
4126,324,400,320,10,EA,100
4127,419,400,320,30,EA,100
4128,360,400,320,30,EA,100
4129,337,168,240,60,EA,100
4130,310,400,320,20,EA,100
4131,402,400,320,30,EA,100
4132,377,400,320,30,EA,100
4133,347,168,240,60,EA,100
4134,317,400,320,20,EA,100
4135,411,400,320,40,EA,100
4136,365,400,320,30,EA,100
4137,337,168,240,60,EA,100
4138,311,400,320,30,EA,100
4139,403,400,320,30,EA,100
4140,162,400,320,20,EA,100
4141,146,400,320,10,EA,100
3177,230,300,200,10,EA,100
3178,200,350,200,20,EA,100
3179,200,350,200,20,EA,100
3180,355,300,200,10,EA,100
3181,366,350,200,20,EA,100
3182,200,350,200,20,EA,100
3183,310,300,200,10,EA,100
3184,343,350,200,20,EA,100
3185,354,300,200,10,EA,100
3186,122,350,200,20,EA,100
3187,140,300,200,10,EA,100
3188,200,350,200,20,EA,100
3189,200,350,200,20,EA,100
3190,200,350,200,20,EA,100
3191,200,350,200,20,EA,100
3192,200,350,200,20,EA,100
3193,200,350,200,20,EA,100
3194,200,350,200,20,EA,100
3195,270,300,200,10,EA,100
3196,290,350,200,20,EA,100
3197,200,350,200,20,EA,100
3198,200,350,200,20,EA,100
3199,200,350,200,20,EA,100
3200,142,350,200,20,EA,100
3201,151,350,200,20,EA,100
3202,200,350,200,20,EA,100
3203,194,350,200,20,EA,100
3204,200,350,200,20,EA,100
3205,260,300,200,10,EA,100
3206,200,350,200,20,EA,100
3207,200,350,200,20,EA,100
3208,240,300,200,10,EA,100
3209,350,300,200,10,EA,100
3210,200,350,200,20,EA,100
3211,200,350,200,20,EA,100
3212,128,210,200,20,EA,100
3213,200,350,200,20,EA,100
3214,200,350,200,20,EA,100
3215,154,350,200,20,EA,100
3216,200,350,200,20,EA,100
3217,200,350,200,20,EA,100
3218,137,350,200,20,EA,100
3219,146,350,200,20,EA,100
3220,158,350,200,20,EA,100
3221,200,350,200,20,EA,100
3222,134,350,200,20,EA,100
3223,148,350,200,20,EA,100
3224,200,350,200,20,EA,100
3225,200,350,200,20,EA,100
3226,530,300,200,10,EA,100
3227,560,350,200,20,EA,100
3228,570,350,200,20,EA,100
3229,620,350,200,20,EA,100
3230,200,350,200,20,EA,100
3231,141,350,200,20,EA,100
3232,200,350,200,20,EA,100
3233,170,300,200,10,EA,100
3234,200,350,200,20,EA,100
3235,200,350,200,20,EA,100
3236,146,350,200,20,EA,100
3237,160,300,200,10,EA,100
3238,200,350,200,20,EA,100
3239,138,300,200,10,EA,100
3240,144,350,200,20,EA,100
3241,158,350,200,20,EA,100
3242,160,300,200,10,EA,100
3243,149,300,200,10,EA,100
3244,158,300,200,10,EA,100
3245,171,300,200,10,EA,100
3246,134,350,200,20,EA,100
3247,140,300,200,10,EA,100
3248,145,300,200,10,EA,100
3249,161,350,200,20,EA,100
3250,100,300,200,10,EA,100
3251,200,350,200,20,EA,100
3252,115,300,200,10,EA,100
3253,200,350,200,20,EA,100
3254,100,300,200,10,EA,100
3255,200,300,200,10,EA,100
3256,110,300,200,10,EA,100
3257,120,300,200,10,EA,100
